Assembly → Part references with Part Numbers (incl. subfolders),,,,
AssemblyFile,AssemblyPN,ChildFile,ChildPN,Quantity
001003-01XX.SLDASM,,90865.SLDPRT,90865,1
001003-01XX.SLDASM,,90872.SLDPRT,90872,1
001003-01XX.SLDASM,,91596.SLDPRT,91596,1
001003-01XX.SLDASM,,91651.SLDPRT,91651,1
001003-01XX.SLDASM,,91967.SLDPRT,Default<As Machined>,1
001003-01XX.SLDASM,,92060-01.SLDASM,,1
001003-01XX.SLDASM,,93029.SLDPRT,Welded,1
001003-01XX.SLDASM,,95857.SLDPRT,95857-04,1
001331-01.SLDASM,,90869.SLDPRT,90869,1
001331-01.SLDASM,,90902.SLDPRT,90902,1
001331-01.SLDASM,,91519.SLDPRT,91519,1
001331-01.SLDASM,,93305.SLDPRT,93305-01,1
001331-01.SLDASM,,93309.SLDPRT,93309,1
001331-01.SLDASM,,93322.SLDPRT,93322-01,1
001331-01.SLDASM,,93323.SLDPRT,93323,1
001331-01.SLDASM,,93504.SLDPRT,93504,1
001331-01.SLDASM,,94049.SLDPRT,94049,1
001331-01.SLDASM,,94065.SLDPRT,94065,1
001331-01.SLDASM,,94066.SLDPRT,94066,1
001331-01.SLDASM,,94069.SLDPRT,94069-01,1
001331-01.SLDASM,,94070.SLDPRT,94070,1
001331-01.SLDASM,,94073.SLDPRT,94073,1
001331-01.SLDASM,,94074.SLDPRT,94074,1
001331-01.SLDASM,,94077.SLDPRT,94077-01,1
001331-01.SLDASM,,94103.SLDASM,94103,1
001331-01.SLDASM,,94105.SLDASM,94105,1
001331-01.SLDASM,,94106.SLDASM,94106,1
001331-01.SLDASM,,94108.SLDPRT,94108,1
001331-01.SLDASM,,94109.SLDPRT,94109,1
001331-01.SLDASM,,94115.SLDPRT,94115,1
001331-01.SLDASM,,94117.SLDPRT,94117,1
001331-01.SLDASM,,94285.SLDPRT,94285,1
001331-01.SLDASM,,94289.SLDPRT,94289,1
001331-01.SLDASM,,94290.SLDPRT,94290,1
001331-01.SLDASM,,94294.SLDPRT,94294,1
001331-01.SLDASM,,94307.SLDPRT,94307,1
001331-01.SLDASM,,94308.SLDPRT,94308,1
001331-01.SLDASM,,94312.SLDPRT,94312,1
001331-01.SLDASM,,94313.SLDPRT,94313,1
001331-01.SLDASM,,94318.SLDPRT,94318,1
001331-01.SLDASM,,94326.SLDPRT,94326,1
001331-01.SLDASM,,94460.SLDPRT,94460,1
001331-01.SLDASM,,94461.SLDPRT,AT875-TVA-06,1
001331-01.SLDASM,,94462.SLDPRT,94462,1
001331-01.SLDASM,,94463.SLDPRT,AT875-PVA-01,1
001331-01.SLDASM,,94464.SLDASM,94464,1
001331-01.SLDASM,,94465.SLDASM,94465,1
001331-01.SLDASM,,94510.SLDPRT,Default,1
001331-01.SLDASM,,94511.SLDPRT,94511,1
001331-01.SLDASM,,94595.SLDASM,94595,1
001331-01.SLDASM,,95520.SLDASM,95520-01,1
001376-0201.SLDASM,Default,90814.SLDPRT,90814,2
001376-0201.SLDASM,Default,90865.SLDPRT,90865,2
001376-0201.SLDASM,Default,90872.SLDPRT,90872,2
001376-0201.SLDASM,Default,91596.SLDPRT,91596,2
001376-0201.SLDASM,Default,91778.SLDPRT,WITH COVER,2
001376-0201.SLDASM,Default,92042.SLDPRT,,2
001376-0201.SLDASM,Default,95854.SLDPRT,95854-04,2
001376-0201.SLDASM,Default,96049.SLDPRT,Default,2
001378-XXXX.SLDASM,001378-XXXX,90571.SLDPRT,90571,5
001378-XXXX.SLDASM,001378-XXXX,90752.SLDPRT,91720-01,5
001378-XXXX.SLDASM,001378-XXXX,90814.SLDPRT,90814,5
001378-XXXX.SLDASM,001378-XXXX,90865.SLDPRT,90865,5
001378-XXXX.SLDASM,001378-XXXX,90872.SLDPRT,90872,5
001378-XXXX.SLDASM,001378-XXXX,91596.SLDPRT,91596,5
001378-XXXX.SLDASM,001378-XXXX,91778.SLDPRT,WITH COVER,5
001378-XXXX.SLDASM,001378-XXXX,92041.SLDPRT,Default,5
001378-XXXX.SLDASM,001378-XXXX,92145.SLDASM,92145,5
001378-XXXX.SLDASM,001378-XXXX,95852.SLDPRT,,4
001378-XXXX.SLDASM,001378-XXXX,96234.SLDPRT,Default,5
001378-XXXX.SLDASM,001378-XXXX,96253.SLDPRT,Default,4
001378-XXXX.SLDASM,001378-XXXX,96402.SLDPRT,WELDMENT,1
001461-01.SLDASM,Default,90865.SLDPRT,90865,3
001461-01.SLDASM,Default,90872.SLDPRT,90872,3
001461-01.SLDASM,Default,91596.SLDPRT,91596,3
001461-01.SLDASM,Default,91727.SLDPRT,Welded,3
001461-01.SLDASM,Default,92031.SLDPRT,Default,3
001461-01.SLDASM,Default,95427.SLDPRT,95427,3
001461-01.SLDASM,Default,96042.SLDPRT,Default,3
001511-01XX.SLDASM,,90865.SLDPRT,90865,1
001511-01XX.SLDASM,,90872.SLDPRT,90872,1
001511-01XX.SLDASM,,91596.SLDPRT,91596,1
001511-01XX.SLDASM,,91727.SLDPRT,Welded,1
001511-01XX.SLDASM,,92126.SLDPRT,,1
001511-01XX.SLDASM,,95427.SLDPRT,95427,1
001511-01XX.SLDASM,,96044.SLDPRT,Default,1
001511-01XX.SLDASM,,96352.SLDPRT,,1
001511-PXQ.SLDASM,,001511-PXQ-WATER.SLDPRT,,1
001511-PXQ.SLDASM,,40036.SLDASM,Default,1
001607-01.SLDASM,Default,90752.SLDPRT,91720-01,3
001607-01.SLDASM,Default,90865.SLDPRT,90865,3
001607-01.SLDASM,Default,90872.SLDPRT,90872,3
001607-01.SLDASM,Default,91596.SLDPRT,91596,3
001607-01.SLDASM,Default,91758.SLDPRT,Machined,3
001607-01.SLDASM,Default,92031.SLDPRT,Default,3
001607-01.SLDASM,Default,95427.SLDPRT,95427,3
001607-01.SLDASM,Default,95849.SLDPRT,95849-04,3
001607-01.SLDASM,Default,96355.SLDPRT,,3
001681-01.SLDASM,Default,90745.SLDPRT,,4
001681-01.SLDASM,Default,90865.SLDPRT,90865,4
001681-01.SLDASM,Default,90872.SLDPRT,90872,4
001681-01.SLDASM,Default,91596.SLDPRT,91596,4
001681-01.SLDASM,Default,91651.SLDPRT,91651,4
001681-01.SLDASM,Default,92062.SLDPRT,,4
001681-01.SLDASM,Default,95993.SLDPRT,95993-01,4
001681-01.SLDASM,Default,96364.SLDPRT,,4
001681-01.SLDASM,Default,96365.SLDPRT,,4
001681-01.SLDASM,Default,96367.SLDPRT,Default,4
001681-01.SLDASM,Default,96451.SLDPRT,96451-01,4
001793-01XX.SLDASM,Default,92055-01-CRATING.SLDPRT,Default,2
001793-01XX.SLDASM,Default,96406.SLDPRT,Default,2
001793-01XX.SLDASM,Default,96418.SLDASM,Default,2
001793-01XX.SLDASM,Default,96525.SLDASM,96525-01,2
001990-01-FOOT.SLDASM,Default,94293.SLDPRT,94293,2
002.sldasm,,002.sldprt,,1
002.sldasm,,ISOGEN_Arrow_3.sldprt,,1
002003-01.SLDASM,,90570.SLDPRT,90570,1
002003-01.SLDASM,,90611.SLDPRT,,1
002003-01.SLDASM,,90734.SLDPRT,90734-01,1
002003-01.SLDASM,,90769.SLDPRT,,1
002003-01.SLDASM,,90859.SLDPRT,90859-01,1
002003-01.SLDASM,,90865.SLDPRT,90865,1
002003-01.SLDASM,,90872.SLDPRT,90872,1
002003-01.SLDASM,,91596.SLDPRT,91596,1
002003-01.SLDASM,,92003.SLDASM,Default,1
002003-01.SLDASM,,92021.SLDPRT,Default,1
002003-01.SLDASM,,95427.SLDPRT,95427,1
002003-01.SLDASM,,96591.SLDPRT,,1
002003-01.SLDASM,,96592.SLDPRT,,1
002003-01.SLDASM,,96596.SLDPRT,,1
002087-01.SLDASM,Default,90750.SLDPRT,91720-01,2
002087-01.SLDASM,Default,90762.SLDPRT,90762-01,2
002087-01.SLDASM,Default,90814.SLDPRT,90814,2
002087-01.SLDASM,Default,90865.SLDPRT,90865,2
002087-01.SLDASM,Default,90872.SLDPRT,90872,2
002087-01.SLDASM,Default,91596.SLDPRT,91596,2
002087-01.SLDASM,Default,92307-15.SLDPRT,92307-15,2
002087-01.SLDASM,Default,96664.SLDPRT,96664-01,2
002087-01.SLDASM,Default,96665.SLDPRT,WITH COVER,2
002087-01.SLDASM,Default,96675.SLDPRT,,2
002100-01.SLDASM,Default,90751.SLDPRT,,2
002100-01.SLDASM,Default,90762.SLDPRT,90762-01,2
002100-01.SLDASM,Default,90814.SLDPRT,90814,2
002100-01.SLDASM,Default,90865.SLDPRT,90865,2
002100-01.SLDASM,Default,90872.SLDPRT,90872,2
002100-01.SLDASM,Default,91596.SLDPRT,91596,2
002100-01.SLDASM,Default,92307-17.SLDPRT,92307-17,4
002100-01.SLDASM,Default,96663.SLDPRT,Default,4
002100-01.SLDASM,Default,96665.SLDPRT,WITH COVER,4
002100-01.SLDASM,Default,96667.SLDPRT,Default,4
002167-PUMP-CRATING.SLDASM,,92244.SLDASM,Default,1
002167-PUMP-CRATING.SLDASM,,96342.SLDPRT,96342-01,1
002344-01.SLDASM,002344-01,91758.SLDPRT,Machined,7
002344-01.SLDASM,002344-01,92261.SLDPRT,92261,4
002344-01.SLDASM,002344-01,92302-14.SLDPRT,92302-25,3
002344-01.SLDASM,002344-01,95849.SLDPRT,95849-04,7
002857-02.SLDASM,Default,90814.SLDPRT,90814,4
002857-02.SLDASM,Default,90872.SLDPRT,90872,4
002857-02.SLDASM,Default,91596.SLDPRT,91596,4
002857-02.SLDASM,Default,91778.SLDPRT,WITH COVER,4
002857-02.SLDASM,Default,92306-09.SLDPRT,92306-15,4
002857-02.SLDASM,Default,96049.SLDPRT,Default,4
002857-02.SLDASM,Default,96918.SLDPRT,Default,4
002876-02.SLDASM,Default,95427.SLDPRT,95427,3
002876-02.SLDASM,Default,95770-02.SLDPRT,,3
002876-02.SLDASM,Default,95775.SLDPRT,Welded,3
003.sldasm,,ISOGEN_Arrow_3.sldprt,,1
003069-AUX-Kit.SLDASM,Default,91528.SLDPRT,91528-01,3
003069-AUX-Kit.SLDASM,Default,91638.SLDPRT,91638-01,3
